objArrayNum,objNum,isGood,ImageFile,cy.RNA,cy.threshold,tmr.RNA,tmr.threshold,GAPDH.RNA,GAPDH.threshold,alexa.RNA,alexa.threshold
295,2,true,cy337.tif,141,550,264,650,333,140,0,700
295,3,true,cy337.tif,69,550,624,650,648,140,6,700
297,1,true,cy339.tif,118,550,525,650,297,140,1,700
317,1,true,cy360.tif,241,550,1015,650,449,140,3,700
319,1,true,cy362.tif,36,550,725,650,377,140,6,700
321,1,true,cy364.tif,6,550,740,650,397,140,1,700
321,2,true,cy364.tif,4,550,810,650,563,140,3,700
321,3,true,cy364.tif,19,550,394,650,448,140,10,700
323,1,true,cy366.tif,4,550,0,650,0,199.9836,1,700
323,2,true,cy366.tif,36,550,207,650,363,140,1,700
326,1,true,cy369.tif,8,550,1031,650,385,140,4,700
327,1,true,cy370.tif,13,550,578,650,572,140,8,700
332,1,true,cy375.tif,130,550,470,650,325,140,10,700
332,2,true,cy375.tif,35,550,950,650,609,140,0,700
348,1,true,cy392.tif,112,550,426,650,491,140,5,700
351,1,true,cy395.tif,23,550,328,650,414,140,3,700
351,2,true,cy395.tif,12,550,311,650,399,140,8,700
351,3,true,cy395.tif,11,550,165,650,123,140,5,700
352,1,true,cy396.tif,2,550,740,650,331,140,2,700
352,2,true,cy396.tif,134,550,589,650,331,140,6,700
353,1,true,cy397.tif,88,550,424,650,317,140,11,700
353,2,true,cy397.tif,27,550,324,650,393,140,1,700
353,3,true,cy397.tif,4,550,188,650,568,140,3,700
353,4,true,cy397.tif,41,550,869,650,846,140,7,700
353,5,true,cy397.tif,43,550,455,650,630,140,1,700
353,6,true,cy397.tif,24,550,686,650,489,140,2,700
355,1,true,cy399.tif,79,550,683,650,419,140,3,700
355,2,true,cy399.tif,34,550,276,650,66,140,0,700
356,1,true,cy400.tif,101,550,453,650,226,140,3,700
356,2,true,cy400.tif,118,550,511,650,617,140,11,700
