"","experimentid","actual.rho","lower.rho","upper.rho","X","Cell.Type","Clone","Substrate","Loading","Media","Donor","Days.CM","Passage","Pre.Fix.Stain","Post.Fix.Stain","Purpose","Date.FISHed","Date.Imaged","ImageObject.","Folder","Good.","Data.Processed.","FISHed.Processed.By","Notes","Treatment.Type","Treatment.Length","GFP.dye","GFP.type","GFP.target","alexa.dye","alexa.target","TMR.dye","TMR.target","cy.dye","cy.target","nir.dye","nir.target","dapi.dye","dapi.target"
"100","G57",0.300823767605677,0.0988840707019445,0.537082304193723,106,"chondrocyte","het","glass","static","Basal","4B",NA,"0","","","chondrocyte dedifferentiation core","2014-03-27","2014-03-28","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"101","G58",0.362363074329767,0.115777766605636,0.558528278573735,143,"MSC","het","glass","static","Basal","5",0,"","","","MSCs het differentiation in gels core (D0 MSCs on glass)","2014-05-21","2014-05-22","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"102","G60",0.63877585689745,0.473470420911868,0.770408063771097,198,"chondrocyte","het","glass","static","basal","1B",1,"0","","","chondrocyte redifferentiation core","2014-07-21","2014-07-22","","/2014-07-22_CH_rediff/CH_P0_glass_Don1B","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"103","G61",0.605398045709341,-0.0759008163095851,0.833782022366144,199,"chondrocyte","het","glass","static","basal","1B",1,"5","","","chondrocyte redifferentiation core","2014-07-27","2014-07-28","","/2014-07-28_CHrediff_P5_glass/CHrediff_glass_P5_Don1B","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"104","G62",0.666668265523777,0.47378643707894,0.839705830228208,208,"chondrocyte","het","glass","static","basal","2",1,"0","","","chondrocyte redifferentiation core","2014-07-21","2014-07-22","","/2014-07-22_CH_rediff/CH_P0_glass_Don2","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"105","G63",0.08025691597114,-0.210906515975886,0.334907805697101,209,"chondrocyte","het","glass","static","basal","2",1,"5","","","chondrocyte redifferentiation core","2014-07-27","2014-07-28","","/2014-07-28_CHrediff_P5_glass/CHrediff_glass_P5_Don2","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"106","G64",0.670124161714353,0.556175831520738,0.798188309925258,218,"chondrocyte","het","glass","static","basal","3",1,"0","","","chondrocyte redifferentiation core","2014-07-28","2014-07-29","","/2014-07-29_fig1scaffold_P0Don3glassCHrediff/CHrediff_glass_P0_Don3","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"107","G65",0.0240545691958605,-0.215770970025306,0.265014148561972,219,"chondrocyte","het","glass","static","basal","3",1,"5","","","chondrocyte redifferentiation core","2014-07-27","2014-07-28","","/2014-07-28_CHrediff_P5_glass/CHrediff_glass_P5_Don3","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"108","G66",0.488385538108514,0.137986421622718,0.709570716510568,186,"MSC","het","glass","static","basal","8",7,"","","","Fig 1 - MSCs on different substrates","2014-06-18","2014-06-19","","","","","","","","","","","","alexa594","LPL","cy3","osteopontin","a647N","aggrecan","atto700","GAPDH","dapi","DNA"
"109","G8",0.242039682641303,0.0696544016088874,0.419449328376473,33,"MFC","in","glass","static","CM-","",4,"","","","meniscus cells on scaffold (also comparison with glass)","2013-08-25","2013-08-26","","/2013-08-26/MFC in","y","y","","","","","","","","alexa594","COMP","cy3","GAPDH","a647N","aggrecan","","","dapi","DNA"
