donor,passage,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
1,1,1,1,32.10382959,781.5078069,6.993867797,1,96678783,1500.668455,64423.81,14.81239429,22228.49284
1,1,1,1,1122.404793,122.9691043,9.224129807,1,168277677,2610.361936,64465.27,56.26617459,146875.0804
1,1,1,1,218.974474,2038.505774,6.030264802,1,72076028,1115.636418,64605.30,196.3022404,219001.9284
1,1,1,1,2495.272269,1234.252312,5.674621952,1,63488235,987.9245631,64264.25,-144.7460586,-142998.1867
1,1,1,1,495.6730285,505.9561576,7.125578226,1,100735274,1557.72267,64668.30,259.2981041,403914.535
1,1,1,1,149.6705842,1093.879945,6.366535589,1,79927978,1243.529975,64275.07,-133.928541,-166544.1552
1,1,1,1,827.5802805,712.1425821,6.680521803,1,88148658,1369.211971,64379.12,-29.88276032,-40915.83315
1,1,1,1,2410.386418,1068.577445,10.33007424,1,210654072,3273.835105,64344.74,-64.25897766,-210373.2969
1,1,1,1,2125.519758,856.1259752,8.628915997,2,147479081,2284.348698,64560.67,151.6693516,346465.686
1,1,1,1,2460.360058,1112.772542,5.515912315,1,60123212,933.4361657,64410.63,1.630539683,1522.00471
1,1,1,1,1162.923071,1566.407669,9.715293797,1,186638015,2895.754854,64452.28,43.2842599,125340.6057
1,1,1,1,660.9495982,619.0231734,10.28868372,1,209320230,3247.652474,64452.78,43.77987499,142181.8193
1,1,1,1,1974.450373,795.4920559,6.555128732,1,84294514,1318.294275,63942.11,-466.8926775,-615501.9436
1,1,1,1,463.6202144,317.0027965,6.919040828,1,94295280,1468.72911,64201.95,-207.0451581,-304093.2508
1,1,1,1,323.1689517,1561.996679,8.176703551,1,132307234,2051.192506,64502.59,93.59232343,191975.8725
1,1,1,1,1085.761861,509.2589357,6.624443664,,86578211,1346.321367,64307.24,-101.7601789,-137001.9032
1,1,1,1,262.0359808,2123.346653,5.68868877,1,64011862,992.8285655,64474.23,65.23475247,64766.92572
1,1,1,1,1191.856599,1228.698302,9.507766443,1,178630522,2773.364331,64409.32,0.324083988,898.8029713
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
1,1,1,0,0,0,0,1,0,0,64409.00,0,0
