donor,media,day,real,centerX,centerY,radiusMicrons,nNuclei,totalIntensity,areaPxSq,normalizedIntensity,normI-BG,totalI-BG
2,1,21,1,1443.838755,75.66934592,8.646263882,1,148588801,2293.543006,64785.70517,382.7051687,877750.7632
2,1,21,1,1325.608801,155.2740393,7.48204333,1,110714480,1717.474723,64463.52807,60.52806522,103955.422
2,1,21,1,1755.111519,1323.895099,7.868377746,1,122462349,1899.416992,64473.6514,70.65139631,134196.4627
2,1,21,1,545.1022993,1981.716837,7.926970254,1,124295789,1927.810641,64475.10268,72.10268067,139000.315
2,1,21,1,1623.595985,331.7341053,7.972160446,1,126140499,1949.853477,64692.29635,289.296352,564085.4979
2,1,21,1,1708.541294,1661.275507,7.587990256,1,114369579,1766.458525,64745.12554,342.1255449,604350.5855
2,1,21,1,1883.344102,251.9279396,13.93509928,3,385359430,5957.582301,64683.86177,280.8617655,1673257.083
2,1,21,1,1571.057767,1914.138687,19.38850116,3,746676444,11532.89638,64743.18501,340.1850103,3923318.474
2,1,21,1,1780.500264,1626.389947,9.511459464,2,179822417,2775.519218,64788.74865,385.7486471,1070652.784
2,1,21,1,2469.535001,1005.384473,20.77371027,2,856557225,13239.69732,64696.13346,293.1334607,3880998.294
2,1,21,1,862.0757789,1850.088448,9.2239547,1,168566629,2610.262829,64578.41224,175.4122414,457872.0533
2,1,21,1,592.6831528,1774.430928,17.57512635,2,613543542,9476.475146,64743.85598,340.8559752,3230113.178
2,1,21,1,741.215941,640.0709044,5.604798422,1,62310959,963.7622505,64653.86974,250.869737,241778.7823
2,1,21,1,518.5608179,947.2970373,12.79653784,1,325236968,5023.829443,64738.85543,335.8554304,1687280.4
2,1,21,1,2357.690681,1426.958804,6.548838808,1,85161475,1315.76557,64723.89683,320.896833,422225.0044
2,1,21,1,626.3819953,200.8224873,8.9333144,1,158177742,2448.359313,64605.60799,202.6079855,496057.1481
2,1,21,1,1683.334076,392.1119202,5.407868248,1,57871989,897.2265588,64500.97629,97.97629182,87906.93116
